"Package","Version","LibPath","Built"
"readr","2.1.5","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"regioneR","1.40.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"regioneReloaded","1.10.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"reshape2","1.4.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"restfulr","0.0.16","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"reticulate","1.44.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.2"
"rex","1.2.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"Rhtslib","3.4.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"rjson","0.2.23","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"rlang","1.1.6","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"rmarkdown","2.30","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"roxygen2","7.3.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"rpart","4.1.24","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"rprojroot","2.1.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"Rsamtools","2.24.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"RSpectra","0.16-2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"rtracklayer","1.68.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"Rtsne","0.17","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"S4Arrays","1.8.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"S4Vectors","0.46.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"S7","0.2.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"sass","0.4.10","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
